outcome_name,feature_name,coefficient,alpha,n_rows,trained_at
win_pct,intercept,0.43232741,1.0000,32,2026-05-08T15:35:19Z
win_pct,roster_churn_rate,0.00008524,1.0000,32,2026-05-08T15:35:19Z
win_pct,inbound_move_count,0.00412155,1.0000,32,2026-05-08T15:35:19Z
win_pct,outbound_move_count,0.00040085,1.0000,32,2026-05-08T15:35:19Z
win_pct,offense_skill_value_delta,0.00223485,1.0000,32,2026-05-08T15:35:19Z
win_pct,offense_line_value_delta,0.00000000,1.0000,32,2026-05-08T15:35:19Z
win_pct,defense_front_value_delta,-0.00097003,1.0000,32,2026-05-08T15:35:19Z
win_pct,defense_second_level_value_delta,0.00727705,1.0000,32,2026-05-08T15:35:19Z
win_pct,defense_secondary_value_delta,0.00000000,1.0000,32,2026-05-08T15:35:19Z
win_pct,special_teams_value_delta,-0.01362496,1.0000,32,2026-05-08T15:35:19Z
win_pct,other_value_delta,-0.00068921,1.0000,32,2026-05-08T15:35:19Z
win_pct,avg_contract_value_per_move,0.00000001,1.0000,32,2026-05-08T15:35:19Z
win_pct,position_value_delta,-0.00577231,1.0000,32,2026-05-08T15:35:19Z
win_pct,schedule_strength_index,0.38992132,1.0000,32,2026-05-08T15:35:19Z
point_diff_per_game,intercept,0.18377716,1.0000,32,2026-05-08T15:35:19Z
point_diff_per_game,roster_churn_rate,-0.00283438,1.0000,32,2026-05-08T15:35:19Z
point_diff_per_game,inbound_move_count,0.35104917,1.0000,32,2026-05-08T15:35:19Z
point_diff_per_game,outbound_move_count,-0.50107613,1.0000,32,2026-05-08T15:35:19Z
point_diff_per_game,offense_skill_value_delta,0.00648258,1.0000,32,2026-05-08T15:35:19Z
point_diff_per_game,offense_line_value_delta,0.00000000,1.0000,32,2026-05-08T15:35:19Z
point_diff_per_game,defense_front_value_delta,0.50284330,1.0000,32,2026-05-08T15:35:19Z
point_diff_per_game,defense_second_level_value_delta,0.19308885,1.0000,32,2026-05-08T15:35:19Z
point_diff_per_game,defense_secondary_value_delta,0.00000000,1.0000,32,2026-05-08T15:35:19Z
point_diff_per_game,special_teams_value_delta,-0.45164873,1.0000,32,2026-05-08T15:35:19Z
point_diff_per_game,other_value_delta,-0.48031850,1.0000,32,2026-05-08T15:35:19Z
point_diff_per_game,avg_contract_value_per_move,0.00000073,1.0000,32,2026-05-08T15:35:19Z
point_diff_per_game,position_value_delta,-0.22955249,1.0000,32,2026-05-08T15:35:19Z
point_diff_per_game,schedule_strength_index,7.08880798,1.0000,32,2026-05-08T15:35:19Z
offensive_epa_per_play,intercept,-0.00322882,1.0000,32,2026-05-08T15:35:19Z
offensive_epa_per_play,roster_churn_rate,0.00000619,1.0000,32,2026-05-08T15:35:19Z
offensive_epa_per_play,inbound_move_count,0.00062675,1.0000,32,2026-05-08T15:35:19Z
offensive_epa_per_play,outbound_move_count,-0.00029794,1.0000,32,2026-05-08T15:35:19Z
offensive_epa_per_play,offense_skill_value_delta,0.00000803,1.0000,32,2026-05-08T15:35:19Z
offensive_epa_per_play,offense_line_value_delta,0.00000000,1.0000,32,2026-05-08T15:35:19Z
offensive_epa_per_play,defense_front_value_delta,0.00094583,1.0000,32,2026-05-08T15:35:19Z
offensive_epa_per_play,defense_second_level_value_delta,0.00081845,1.0000,32,2026-05-08T15:35:19Z
offensive_epa_per_play,defense_secondary_value_delta,0.00000000,1.0000,32,2026-05-08T15:35:19Z
offensive_epa_per_play,special_teams_value_delta,-0.00259787,1.0000,32,2026-05-08T15:35:19Z
offensive_epa_per_play,other_value_delta,0.00014643,1.0000,32,2026-05-08T15:35:19Z
offensive_epa_per_play,avg_contract_value_per_move,0.00000000,1.0000,32,2026-05-08T15:35:19Z
offensive_epa_per_play,position_value_delta,-0.00067912,1.0000,32,2026-05-08T15:35:19Z
offensive_epa_per_play,schedule_strength_index,0.05959422,1.0000,32,2026-05-08T15:35:19Z
