outcome_name,effect_type,effect_key,raw_mean,count,shrunk_effect,prior_strength,trained_at
offensive_epa_per_play,player,AdamDa01,0.00007958,2,0.00003183,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,AlleLe01,0.00007981,2,0.00003192,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,AmadUg00,-0.00001647,4,-0.00000941,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,AndeRo04,-0.00005506,2,-0.00002202,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,AndeTy00,0.00016886,4,0.00009649,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,AraiMa00,0.00011548,2,0.00004619,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,ArceJJ00,-0.00004023,2,-0.00001609,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,AshbJu00,0.00014138,2,0.00005655,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,AyomEl00,-0.00014867,2,-0.00005947,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,BarnAm00,-0.00009943,2,-0.00003977,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,BaroTy00,-0.00021190,2,-0.00008476,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,BashCa00,-0.00071825,2,-0.00028730,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,BassJe00,-0.00018665,2,-0.00007466,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,BechJa00,-0.00009606,2,-0.00003842,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,BennJa00,0.00012234,2,0.00004894,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,BlacMe00,0.00015888,2,0.00006355,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,BlacRo00,0.00030668,2,0.00012267,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,BlacYa00,0.00018665,2,0.00007466,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,BookTh00,-0.00013802,4,-0.00007887,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,BorrAn00,-0.00002864,4,-0.00001637,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,BrigJo00,-0.00014169,2,-0.00005668,3.0000,2026-05-05T15:38:43Z
offensive_epa_per_play,player,BrowAJ00,0.00007318,2,0.00002927,3.0000,2026-05-05T15:38:43Z
