team,wins,losses,ties,win_pct,point_diff_per_game,games_played,source,win_total,provider,captured_at
ARI,10,5,0,0.6667,4.8667,15,nflverse_games_actual,10.0,nflverse_games_actual,2026-05-18T15:18:26Z
ATL,7,10,0,0.4118,-8.5882,17,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-18T15:18:26Z
BAL,8,8,0,0.5000,-0.2500,16,nflverse_games_actual,8.0,nflverse_games_actual,2026-05-18T15:18:26Z
BUF,11,6,0,0.6471,11.4118,17,nflverse_games_actual,11.0,nflverse_games_actual,2026-05-18T15:18:26Z
CAR,5,12,0,0.2941,-5.8824,17,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-18T15:18:26Z
CHI,6,10,0,0.3750,-4.7500,16,nflverse_games_actual,6.0,nflverse_games_actual,2026-05-18T15:18:26Z
CIN,10,7,0,0.5882,4.9412,17,nflverse_games_actual,10.0,nflverse_games_actual,2026-05-18T15:18:26Z
CLE,8,9,0,0.4706,-1.2941,17,nflverse_games_actual,8.0,nflverse_games_actual,2026-05-18T15:18:26Z
DAL,12,5,0,0.7059,10.1176,17,nflverse_games_actual,12.0,nflverse_games_actual,2026-05-18T15:18:26Z
DEN,7,10,0,0.4118,0.7647,17,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-18T15:18:26Z
DET,3,12,1,0.2188,-8.3125,16,nflverse_games_actual,3.5,nflverse_games_actual,2026-05-18T15:18:26Z
GB,12,4,0,0.7500,4.4375,16,nflverse_games_actual,12.0,nflverse_games_actual,2026-05-18T15:18:26Z
HOU,4,12,0,0.2500,-9.7500,16,nflverse_games_actual,4.0,nflverse_games_actual,2026-05-18T15:18:26Z
IND,9,7,0,0.5625,5.5625,16,nflverse_games_actual,9.0,nflverse_games_actual,2026-05-18T15:18:26Z
JAX,3,13,0,0.1875,-10.8750,16,nflverse_games_actual,3.0,nflverse_games_actual,2026-05-18T15:18:26Z
KC,12,5,0,0.7059,6.8235,17,nflverse_games_actual,12.0,nflverse_games_actual,2026-05-18T15:18:26Z
LV,10,7,0,0.5882,-3.8235,17,nflverse_games_actual,10.0,nflverse_games_actual,2026-05-18T15:18:26Z
LAC,9,8,0,0.5294,0.8824,17,nflverse_games_actual,9.0,nflverse_games_actual,2026-05-18T15:18:26Z
LAR,0,0,0,0.0000,0.0000,0,nflverse_games_actual,0.0,nflverse_games_actual,2026-05-18T15:18:26Z
MIA,9,8,0,0.5294,-1.8824,17,nflverse_games_actual,9.0,nflverse_games_actual,2026-05-18T15:18:26Z
MIN,8,8,0,0.5000,0.3750,16,nflverse_games_actual,8.0,nflverse_games_actual,2026-05-18T15:18:26Z
NE,10,7,0,0.5882,9.3529,17,nflverse_games_actual,10.0,nflverse_games_actual,2026-05-18T15:18:26Z
NO,9,8,0,0.5294,1.7059,17,nflverse_games_actual,9.0,nflverse_games_actual,2026-05-18T15:18:26Z
NYG,4,12,0,0.2500,-8.1875,16,nflverse_games_actual,4.0,nflverse_games_actual,2026-05-18T15:18:26Z
NYJ,4,13,0,0.2353,-11.4118,17,nflverse_games_actual,4.0,nflverse_games_actual,2026-05-18T15:18:26Z
PHI,9,8,0,0.5294,3.4706,17,nflverse_games_actual,9.0,nflverse_games_actual,2026-05-18T15:18:26Z
PIT,9,7,1,0.5588,-3.2353,17,nflverse_games_actual,9.5,nflverse_games_actual,2026-05-18T15:18:26Z
SEA,7,8,0,0.4667,3.2000,15,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-18T15:18:26Z
SF,8,7,0,0.5333,2.5333,15,nflverse_games_actual,8.0,nflverse_games_actual,2026-05-18T15:18:26Z
TB,13,3,0,0.8125,10.5000,16,nflverse_games_actual,13.0,nflverse_games_actual,2026-05-18T15:18:26Z
TEN,11,5,0,0.6875,3.3125,16,nflverse_games_actual,11.0,nflverse_games_actual,2026-05-18T15:18:26Z
WAS,7,10,0,0.4118,-5.8235,17,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-18T15:18:26Z
