player,position,team,from_team,contract_aav,contract_total,contract_years,age,height,weight,experience,college,draft_year,draft_round,draft_pick,pfr_slug,source_url,import_method,imported_at
Derek Carrier,TE,,WAS,,,,,,,5,,,,,CarrDe00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Gerald Everett,TE,,BUF,1511112,6044448,4,,,,0,,,,,EverGe00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Jeremy Clark,DB,,CHI,637106,2548424,4,,,,0,,,,,ClarJe04,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
John Johnson,DB,,BUF,814873,3259490,4,,,,0,,,,,JohnJo10,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Josh Reynolds,WR,,CHI,762006,3048024,4,,,,0,,,,,ReynJo00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Jylan Ware,,,ARI,621077,2484308,4,,,,,,,,,WareJy00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Russell Gage,,,DET,,,,,,,,,,,,GageRu00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Sam Rogers,,,MIA,635710,2542840,4,,,,,,,,,RogeSa00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Sammy Watkins,WR,,BUF,4983901,19935603,4,,,,3,,,,,WatkSa00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Samson Ebukam,LB,,NYJ,751753,3007012,4,,,,0,,,,,EbukSa00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Sebastian Joseph,,,BUF,,,,,,,,,,,,JoseSe00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Shalom Luani,DB,,ARI,623607,2494428,4,,,,0,,,,,LuanSh00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Adrian Peterson,RB,ARI,NO,14000000,42000000,3,,,,10,,,,,PeteAd01,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Alex Boone,G,ARI,MIN,900000,900000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Andy Lee,P,ARI,CAR,1862500,3725000,2,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Antoine Bethea,FS,ARI,SF,4250000,12750000,3,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Blaine Gabbert,QB,ARI,SF,895000,895000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Budda Baker,DB,ARI,CHI,1707493,6829970,4,,,,0,,,,,BakeBu00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Chad Williams,WR,ARI,CAR,794072,3176288,4,,,,0,,,,,WillCh05,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Dorian Johnson,,ARI,CAR,764097,3056388,4,,,,,,,,,JohnDo03,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Gerald Christian,TE,ARI,BUF,540000,540000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Jarvis Jones,OLB,ARI,PIT,2250000,2250000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Jim Dray,TE,ARI,SF,900000,900000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Josh Bynes,ILB,ARI,DET,775000,775000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Jumal Rolle,CB,ARI,BAL,615000,615000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Phil Dawson,K,ARI,SF,3000000,6000000,2,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Philip Wheeler,OLB,ARI,ATL,980000,980000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Rudy Ford,DB,ARI,,635048,2540192,4,,,,0,,,,,FordRu00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Tony Bergstrom,C,ARI,HOU,775000,775000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Tramon Williams,CB,ARI,CLE,2000000,2000000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Zach Sieler,,ARI,BAL,,,,,,,,,,,,SielZa00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Andre Roberts,WR,ATL,DET,1800000,1800000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Austin Pasztor,T,ATL,CLE,855000,855000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Brian Hill,RB,ATL,BUF,667315,2669260,4,,,,0,,,,,HillBr02,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Damontae Kazee,DB,ATL,BUF,672233,2688932,4,,,,0,,,,,KazeDa00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Dontari Poe,DT,ATL,KC,8000000,8000000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Duke Riley,LB,ATL,BUF,879438,3517752,4,,,,0,,,,,RileDu00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Hugh Thornton,G,ATL,IND,690000,690000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Jack Crawford,DT,ATL,DAL,2933333,8800000,3,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Takkarist McKinley,DL,ATL,SEA,2554198,10216792,4,,,,0,,,,,McKiTa00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Ty Sambrailo,,ATL,DEN,961489,3845956,4,,,,,,,,,SambTy00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Bobby Rainey,RB,BAL,NYG,775000,775000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Brandon Carr,CB,BAL,DAL,5875000,23500000,4,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Danny Woodhead,RB,BAL,LAC,2933333,8800000,3,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Griff Whalen,WR,BAL,NE,775000,775000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Jeremy Maclin,WR,BAL,KC,5500000,11000000,2,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Jeremy Zuttah,C,BAL,SF,1800000,3600000,2,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Larry Donnell,TE,BAL,NYG,775000,775000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Luke Bowanko,,BAL,JAX,578513,2314052,4,,,,,,,,,BowaLu00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Thaddeus Lewis,QB,BAL,SF,775000,775000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Tony Bergstrom,,BAL,ARI,2875000,5750000,2,,,,,,,,,BergTo00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Tony Jefferson,SS/S,BAL,ARI,8500000,34000000,4,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Trevin Wade,CB,BAL,NYG,775000,775000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Anquan Boldin,WR,BUF,DET,2750000,2750000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Bacarri Rambo,SS,BUF,MIA,0,0,0,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Cedric Thornton,DT,BUF,DAL,775000,775000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Corey Brown,WR,BUF,CAR,690000,690000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Damontae Kazee,DB,BUF,,672233,2688932,4,,,,0,,,,,KazeDa00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Dion Dawkins,,BUF,ATL,1045809,4183234,4,,,,,,,,,DawkDi00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Duke Dawson,,BUF,,,,,,,,,,,,,DawsDu00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
EJ Gaines,DB,BUF,,,,,,,,3,,,,,GainE.00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Gerald Hodges,ILB,BUF,SF,855000,855000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Harrison Phillips,,BUF,PHI,,,,,,,,,,,,PhilHa00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Jeremy Butler,WR,BUF,LAC,625000,625000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Joe Banyard,RB,BUF,JAX,690000,690000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Joe Webb,QB,BUF,CAR,900000,900000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
John Johnson,DB,BUF,KC,814873,3259490,4,,,,0,,,,,JohnJo10,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Jordan Matthews,WR,BUF,PHI,1237318,4949270,4,,,,3,,,,,MattJo00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Jordan Poyer,FS/CB,BUF,CLE,3250000,13000000,4,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Kaelin Clay,WR,BUF,CAR,602619,2410476,4,,,,2,,,,,ClayKa00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Karim Barton,G,BUF,TEN,0,0,0,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Kelvin Benjamin,WR,BUF,CAR,3224650,16123250,4,,,,3,,,,,BenjKe00,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Leonard Johnson,CB,BUF,CAR,855000,855000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Marcus Cromartie,CB,BUF,SF,690000,690000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Micah Hyde,SS/CB,BUF,GB,6100000,30500000,5,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Mike Tolbert,FB,BUF,CAR,980000,980000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Patrick DiMarco,FB,BUF,ATL,2100000,8400000,4,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Rashaan Evans,,BUF,KC,,,,,,,,,,,,EvanRa01,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,nflverse_trades_fallback,2026-05-18T15:18:10Z
Rod Streater,WR,BUF,SF,775000,775000,1,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
Ryan Davis,DE,BUF,DAL,1100000,2200000,2,,,,,,,,,,https://www.spotrac.com/nfl/free-agents/signed/_/year/2017,spotrac_fa_scraper,2026-05-18T15:18:13Z
