team,player,transaction_type,transaction_date,notes,source_url,import_method,imported_at
"ARI","Devin Moore","Signed","2025-03-12","Veteran CB added on 2-year deal","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"ARI","Logan Carter","Released","2025-03-09","Cap-related move","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"ATL","Marcus Reed","Signed","2025-03-11","Depth WR signing","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"ATL","Jared Lewis","Re-signed","2025-03-08","Special teams LB retained","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"BAL","Noah Collins","Signed","2025-03-13","Edge rusher added in free agency","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"BAL","Evan Scott","Released","2025-03-07","Veteran S released","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"BUF","Tyler Brooks","Signed","2025-03-14","Interior OL depth","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"BUF","Caleb Harris","Released","2025-03-10","WR released ahead of free agency","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"CAR","Isaiah King","Signed","2025-03-12","Slot WR added","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"CAR","Owen Turner","Re-signed","2025-03-09","Backup OT retained","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"CHI","Miles Johnson","Signed","2025-03-15","Veteran safety signed","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"CHI","Logan Price","Released","2025-03-11","RB released after two seasons","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"CIN","Eli Carter","Signed","2025-03-13","Rotational DT added","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"CIN","Spencer Hall","Re-signed","2025-03-10","Nickel CB retained","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"CLE","Jamal Wright","Signed","2025-03-14","TE added as red-zone target","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"CLE","Darren Lewis","Released","2025-03-08","Veteran RB released","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"DAL","Brady Moore","Signed","2025-03-12","Edge depth signing","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"DAL","Noah Scott","Re-signed","2025-03-07","Core special teamer retained","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"DEN","Logan King","Signed","2025-03-13","Veteran CB added","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"DEN","Miles Turner","Released","2025-03-09","DL released for cap space","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"DET","Caleb Brooks","Signed","2025-03-14","RB added to rotation","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"DET","Evan Harris","Re-signed","2025-03-08","Backup QB retained","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"GB","Jared Young","Signed","2025-03-11","Slot CB signing","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"GB","Owen Collins","Released","2025-03-07","Veteran TE released","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"HOU","Dante Morgan","Signed","2025-03-12","WR added for depth","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"HOU","Isaac Reed","Re-signed","2025-03-09","Interior DL retained","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"IND","Noah Price","Signed","2025-03-13","LB added for special teams","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"IND","Logan White","Released","2025-03-10","CB released","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"JAX","Miles Scott","Signed","2025-03-14","Boundary WR signing","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"JAX","Caleb Moore","Re-signed","2025-03-08","Backup S retained","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"KC","Eli Turner","Signed","2025-03-12","Rotational edge rusher","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"KC","Spencer Brooks","Released","2025-03-07","Veteran OL released","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"LV","Jared Harris","Signed","2025-03-13","CB added in free agency","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"LV","Dante King","Re-signed","2025-03-08","WR retained on 1-year deal","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"LAC","Tyler Lewis","Signed","2025-03-14","Safety added for depth","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"LAC","Evan Carter","Released","2025-03-09","DL released","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"LAR","Caleb Johnson","Signed","2025-03-11","Veteran OT signing","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"LAR","Miles Reed","Re-signed","2025-03-08","Nickel CB retained","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"MIA","Noah Collins","Signed","2025-03-12","Speed WR added","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"MIA","Owen Scott","Released","2025-03-07","Veteran LB released","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"MIN","Isaac Moore","Signed","2025-03-13","Interior OL depth","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"MIN","Jamal Harris","Re-signed","2025-03-08","TE retained","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"NE","Darren King","Signed","2025-03-14","CB added in free agency","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"NE","Logan Brooks","Released","2025-03-10","WR released","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"NO","Eli Johnson","Signed","2025-03-12","DL depth signing","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"NO","Spencer Lewis","Re-signed","2025-03-08","Backup QB retained","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"NYG","Caleb Carter","Signed","2025-03-13","Boundary CB added","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"NYG","Miles White","Released","2025-03-09","Veteran RB released","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"NYJ","Jared Moore","Signed","2025-03-14","Edge rusher signing","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"NYJ","Dante Price","Re-signed","2025-03-08","Slot WR retained","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"PHI","Noah King","Signed","2025-03-11","Safety added","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"PHI","Evan Turner","Released","2025-03-07","Veteran OL released","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"PIT","Isaiah Scott","Signed","2025-03-12","LB added for depth","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"PIT","Owen Collins","Re-signed","2025-03-08","Core special teamer retained","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"SEA","Miles Johnson","Signed","2025-03-13","WR added in free agency","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"SEA","Logan Harris","Released","2025-03-09","CB released","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"SF","Darren Moore","Signed","2025-03-14","DL depth signing","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"SF","Caleb Reed","Re-signed","2025-03-08","TE retained","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"TB","Jamal King","Signed","2025-03-11","CB added","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"TB","Noah Brooks","Released","2025-03-07","Veteran WR released","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"TEN","Eli Lewis","Signed","2025-03-12","RB added to rotation","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"TEN","Spencer Harris","Re-signed","2025-03-08","Backup OL retained","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"WAS","Isaac Carter","Signed","2025-03-13","Edge rusher signing","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
"WAS","Logan White","Released","2025-03-09","Veteran S released","https://www.nfl.com/transactions","manual","2025-03-20T00:00:00Z"
