team,wins,losses,ties,win_pct,point_diff_per_game,games_played,source,win_total,provider,captured_at
ARI,3,10,0,0.2308,-10.9231,13,nflverse_games_actual,3.0,nflverse_games_actual,2026-05-08T18:32:55Z
ATL,7,9,0,0.4375,-0.5625,16,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-08T18:32:55Z
BAL,9,6,0,0.6000,5.6667,15,nflverse_games_actual,9.0,nflverse_games_actual,2026-05-08T18:32:55Z
BUF,6,10,0,0.3750,-6.5625,16,nflverse_games_actual,6.0,nflverse_games_actual,2026-05-08T18:32:55Z
CAR,7,9,0,0.4375,-0.3750,16,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-08T18:32:55Z
CHI,11,4,0,0.7333,8.6000,15,nflverse_games_actual,11.0,nflverse_games_actual,2026-05-08T18:32:55Z
CIN,5,10,0,0.3333,-6.7333,15,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-08T18:32:55Z
CLE,7,7,1,0.5000,-2.0000,15,nflverse_games_actual,7.5,nflverse_games_actual,2026-05-08T18:32:55Z
DAL,10,6,0,0.6250,0.9375,16,nflverse_games_actual,10.0,nflverse_games_actual,2026-05-08T18:32:55Z
DEN,5,8,0,0.3846,-0.3846,13,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-08T18:32:55Z
DET,6,9,0,0.4000,-1.4667,15,nflverse_games_actual,6.0,nflverse_games_actual,2026-05-08T18:32:55Z
GB,6,8,1,0.4333,-1.4667,15,nflverse_games_actual,6.5,nflverse_games_actual,2026-05-08T18:32:55Z
HOU,11,5,0,0.6875,5.3750,16,nflverse_games_actual,11.0,nflverse_games_actual,2026-05-08T18:32:55Z
IND,9,6,0,0.6000,5.0000,15,nflverse_games_actual,9.0,nflverse_games_actual,2026-05-08T18:32:55Z
JAX,5,11,0,0.3125,-4.4375,16,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-08T18:32:55Z
KC,10,3,0,0.7692,8.3077,13,nflverse_games_actual,10.0,nflverse_games_actual,2026-05-08T18:32:55Z
LV,0,0,0,0.0000,0.0000,0,nflverse_games_actual,0.0,nflverse_games_actual,2026-05-08T18:32:55Z
LAC,10,3,0,0.7692,6.2308,13,nflverse_games_actual,10.0,nflverse_games_actual,2026-05-08T18:32:55Z
LAR,0,0,0,0.0000,0.0000,0,nflverse_games_actual,0.0,nflverse_games_actual,2026-05-08T18:32:55Z
MIA,6,9,0,0.4000,-8.1333,15,nflverse_games_actual,6.0,nflverse_games_actual,2026-05-08T18:32:55Z
MIN,8,6,1,0.5667,1.7333,15,nflverse_games_actual,8.5,nflverse_games_actual,2026-05-08T18:32:55Z
NE,11,5,0,0.6875,6.9375,16,nflverse_games_actual,11.0,nflverse_games_actual,2026-05-08T18:32:55Z
NO,12,3,0,0.8000,9.4000,15,nflverse_games_actual,12.0,nflverse_games_actual,2026-05-08T18:32:55Z
NYG,5,11,0,0.3125,-2.6875,16,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-08T18:32:55Z
NYJ,4,12,0,0.2500,-6.7500,16,nflverse_games_actual,4.0,nflverse_games_actual,2026-05-08T18:32:55Z
PHI,8,7,0,0.5333,0.8000,15,nflverse_games_actual,8.0,nflverse_games_actual,2026-05-08T18:32:55Z
PIT,9,5,1,0.6333,4.7333,15,nflverse_games_actual,9.5,nflverse_games_actual,2026-05-08T18:32:55Z
SEA,9,4,0,0.6923,4.9231,13,nflverse_games_actual,9.0,nflverse_games_actual,2026-05-08T18:32:55Z
SF,3,10,0,0.2308,-6.0769,13,nflverse_games_actual,3.0,nflverse_games_actual,2026-05-08T18:32:55Z
TB,5,11,0,0.3125,-4.2500,16,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-08T18:32:55Z
TEN,9,7,0,0.5625,0.4375,16,nflverse_games_actual,9.0,nflverse_games_actual,2026-05-08T18:32:55Z
WAS,7,9,0,0.4375,-4.8750,16,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-08T18:32:55Z
