team,wins,losses,ties,win_pct,point_diff_per_game,games_played,source,win_total,provider,captured_at
ARI,8,6,0,0.5714,-1.2143,14,nflverse_games_actual,8.0,nflverse_games_actual,2026-05-08T18:32:52Z
ATL,10,6,0,0.6250,2.3750,16,nflverse_games_actual,10.0,nflverse_games_actual,2026-05-08T18:32:52Z
BAL,8,7,0,0.5333,5.2667,15,nflverse_games_actual,8.0,nflverse_games_actual,2026-05-08T18:32:52Z
BUF,8,7,0,0.5333,-5.1333,15,nflverse_games_actual,8.0,nflverse_games_actual,2026-05-08T18:32:52Z
CAR,11,5,0,0.6875,2.2500,16,nflverse_games_actual,11.0,nflverse_games_actual,2026-05-08T18:32:52Z
CHI,5,11,0,0.3125,-3.5000,16,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-08T18:32:52Z
CIN,7,9,0,0.4375,-3.6875,16,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-08T18:32:52Z
CLE,0,16,0,0.0000,-11.0000,16,nflverse_games_actual,0.0,nflverse_games_actual,2026-05-08T18:32:52Z
DAL,8,6,0,0.5714,1.7143,14,nflverse_games_actual,8.0,nflverse_games_actual,2026-05-08T18:32:52Z
DEN,4,10,0,0.2857,-6.5714,14,nflverse_games_actual,4.0,nflverse_games_actual,2026-05-08T18:32:52Z
DET,9,7,0,0.5625,2.1250,16,nflverse_games_actual,9.0,nflverse_games_actual,2026-05-08T18:32:52Z
GB,7,9,0,0.4375,-4.0000,16,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-08T18:32:52Z
HOU,4,11,0,0.2667,-4.8000,15,nflverse_games_actual,4.0,nflverse_games_actual,2026-05-08T18:32:52Z
IND,4,11,0,0.2667,-6.9333,15,nflverse_games_actual,4.0,nflverse_games_actual,2026-05-08T18:32:52Z
JAX,10,5,0,0.6667,10.6000,15,nflverse_games_actual,10.0,nflverse_games_actual,2026-05-08T18:32:52Z
KC,9,5,0,0.6429,4.7143,14,nflverse_games_actual,9.0,nflverse_games_actual,2026-05-08T18:32:52Z
LV,0,0,0,0.0000,0.0000,0,nflverse_games_actual,0.0,nflverse_games_actual,2026-05-08T18:32:52Z
LAC,7,7,0,0.5000,4.4286,14,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-08T18:32:52Z
LAR,0,0,0,0.0000,0.0000,0,nflverse_games_actual,0.0,nflverse_games_actual,2026-05-08T18:32:52Z
MIA,6,9,0,0.4000,-7.2667,15,nflverse_games_actual,6.0,nflverse_games_actual,2026-05-08T18:32:52Z
MIN,12,3,0,0.8000,7.5333,15,nflverse_games_actual,12.0,nflverse_games_actual,2026-05-08T18:32:52Z
NE,12,3,0,0.8000,9.1333,15,nflverse_games_actual,12.0,nflverse_games_actual,2026-05-08T18:32:52Z
NO,11,4,0,0.7333,8.5333,15,nflverse_games_actual,11.0,nflverse_games_actual,2026-05-08T18:32:52Z
NYG,3,11,0,0.2143,-7.2143,14,nflverse_games_actual,3.0,nflverse_games_actual,2026-05-08T18:32:52Z
NYJ,5,10,0,0.3333,-3.9333,15,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-08T18:32:52Z
PHI,11,3,0,0.7857,10.3571,14,nflverse_games_actual,11.0,nflverse_games_actual,2026-05-08T18:32:52Z
PIT,13,3,0,0.8125,6.1250,16,nflverse_games_actual,13.0,nflverse_games_actual,2026-05-08T18:32:52Z
SEA,8,6,0,0.5714,4.5000,14,nflverse_games_actual,8.0,nflverse_games_actual,2026-05-08T18:32:52Z
SF,5,9,0,0.3571,-5.0714,14,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-08T18:32:52Z
TB,5,11,0,0.3125,-2.9375,16,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-08T18:32:52Z
TEN,9,5,0,0.6429,-0.5714,14,nflverse_games_actual,9.0,nflverse_games_actual,2026-05-08T18:32:52Z
WAS,5,9,0,0.3571,-5.0000,14,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-08T18:32:52Z
