team,wins,losses,ties,win_pct,point_diff_per_game,games_played,source,win_total,provider,captured_at
ARI,5,8,1,0.3929,-3.3571,14,nflverse_games_actual,5.5,nflverse_games_actual,2026-05-18T15:18:19Z
ATL,7,8,0,0.4667,0.6000,15,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-18T15:18:19Z
BAL,13,2,0,0.8667,14.0000,15,nflverse_games_actual,13.0,nflverse_games_actual,2026-05-18T15:18:19Z
BUF,10,6,0,0.6250,3.4375,16,nflverse_games_actual,10.0,nflverse_games_actual,2026-05-18T15:18:19Z
CAR,5,10,0,0.3333,-8.4667,15,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-18T15:18:19Z
CHI,8,6,0,0.5714,-0.3571,14,nflverse_games_actual,8.0,nflverse_games_actual,2026-05-18T15:18:19Z
CIN,2,12,0,0.1429,-8.5714,14,nflverse_games_actual,2.0,nflverse_games_actual,2026-05-18T15:18:19Z
CLE,6,9,0,0.4000,-3.4000,15,nflverse_games_actual,6.0,nflverse_games_actual,2026-05-18T15:18:19Z
DAL,7,8,0,0.4667,6.0000,15,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-18T15:18:19Z
DEN,6,8,0,0.4286,-1.9286,14,nflverse_games_actual,6.0,nflverse_games_actual,2026-05-18T15:18:19Z
DET,3,11,1,0.2333,-5.0000,15,nflverse_games_actual,3.5,nflverse_games_actual,2026-05-18T15:18:19Z
GB,12,3,0,0.8000,3.0000,15,nflverse_games_actual,12.0,nflverse_games_actual,2026-05-18T15:18:19Z
HOU,9,6,0,0.6000,-0.6667,15,nflverse_games_actual,9.0,nflverse_games_actual,2026-05-18T15:18:19Z
IND,7,8,0,0.4667,-0.3333,15,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-18T15:18:19Z
JAX,5,10,0,0.3333,-6.7333,15,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-18T15:18:19Z
KC,10,4,0,0.7143,6.7143,14,nflverse_games_actual,10.0,nflverse_games_actual,2026-05-18T15:18:19Z
LV,0,0,0,0.0000,0.0000,0,nflverse_games_actual,0.0,nflverse_games_actual,2026-05-18T15:18:19Z
LAC,5,9,0,0.3571,0.0714,14,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-18T15:18:19Z
LAR,0,0,0,0.0000,0.0000,0,nflverse_games_actual,0.0,nflverse_games_actual,2026-05-18T15:18:19Z
MIA,5,11,0,0.3125,-11.7500,16,nflverse_games_actual,5.0,nflverse_games_actual,2026-05-18T15:18:19Z
MIN,9,6,0,0.6000,5.6000,15,nflverse_games_actual,9.0,nflverse_games_actual,2026-05-18T15:18:19Z
NE,12,4,0,0.7500,12.1875,16,nflverse_games_actual,12.0,nflverse_games_actual,2026-05-18T15:18:19Z
NO,13,2,0,0.8667,9.0000,15,nflverse_games_actual,13.0,nflverse_games_actual,2026-05-18T15:18:19Z
NYG,4,12,0,0.2500,-6.8750,16,nflverse_games_actual,4.0,nflverse_games_actual,2026-05-18T15:18:19Z
NYJ,6,9,0,0.4000,-7.6000,15,nflverse_games_actual,6.0,nflverse_games_actual,2026-05-18T15:18:19Z
PHI,9,7,0,0.5625,1.9375,16,nflverse_games_actual,9.0,nflverse_games_actual,2026-05-18T15:18:19Z
PIT,7,8,0,0.4667,-1.2667,15,nflverse_games_actual,7.0,nflverse_games_actual,2026-05-18T15:18:19Z
SEA,10,4,0,0.7143,1.5714,14,nflverse_games_actual,10.0,nflverse_games_actual,2026-05-18T15:18:19Z
SF,11,3,0,0.7857,10.9286,14,nflverse_games_actual,11.0,nflverse_games_actual,2026-05-18T15:18:19Z
TB,6,9,0,0.4000,-0.4000,15,nflverse_games_actual,6.0,nflverse_games_actual,2026-05-18T15:18:19Z
TEN,8,7,0,0.5333,3.3333,15,nflverse_games_actual,8.0,nflverse_games_actual,2026-05-18T15:18:19Z
WAS,3,13,0,0.1875,-10.5625,16,nflverse_games_actual,3.0,nflverse_games_actual,2026-05-18T15:18:19Z
