team_id,nfl_season,nfl_week,roster_churn_rate,inbound_move_count,outbound_move_count,offense_skill_value_delta,offense_line_value_delta,defense_front_value_delta,defense_second_level_value_delta,defense_secondary_value_delta,special_teams_value_delta,other_value_delta,avg_contract_value_per_move,same_division_inbound_count,cross_division_inbound_count,cross_conference_inbound_count,position_value_delta,schedule_strength_index,feature_version,generated_at
ARI,2021,1,0.924528,26,23,0.0000,1.9000,8.1000,0.0000,2.7000,-0.7000,-0.4061,2203288.50,1,9,16,11.5939,0.2549,0.4.0-offseason,2026-05-18T15:20:36Z
ATL,2021,1,0.886792,22,25,-2.4000,-1.9000,4.9000,1.1000,-6.9000,0.0000,1.2861,1210171.59,2,10,10,-3.9139,-0.1216,0.4.0-offseason,2026-05-18T15:20:36Z
BAL,2021,1,0.679245,14,22,-3.2000,0.3000,-1.0000,-4.2000,1.0000,-1.4000,-2.0812,2205642.29,1,8,5,-10.5812,0.0039,0.4.0-offseason,2026-05-18T15:20:36Z
BUF,2021,1,0.698113,19,18,3.0000,-2.0000,1.3000,1.0000,0.0000,0.0000,1.2556,1325697.58,2,8,9,4.5556,0.3804,0.4.0-offseason,2026-05-18T15:20:36Z
CAR,2021,1,1.377358,38,35,3.7000,-1.9000,-6.2000,2.0000,2.7000,-1.3000,4.0300,2426097.05,1,14,23,3.0300,-0.3725,0.4.0-offseason,2026-05-18T15:20:36Z
CHI,2021,1,0.905660,24,24,5.6000,1.9000,0.0000,1.0000,-8.1000,-0.7000,-0.7139,1950491.96,4,10,10,-1.0139,-0.2471,0.4.0-offseason,2026-05-18T15:20:36Z
CIN,2021,1,0.622642,13,20,-5.9000,-1.9000,-2.3000,-1.0000,2.2000,-0.7000,-1.2031,3536666.00,1,5,7,-10.8031,0.2549,0.4.0-offseason,2026-05-18T15:20:36Z
CLE,2021,1,0.679245,14,22,-8.4000,0.0000,-2.3000,5.3000,-11.8000,-0.1000,1.9812,2982271.14,1,4,9,-15.3188,0.0039,0.4.0-offseason,2026-05-18T15:20:36Z
DAL,2021,1,0.584906,15,16,-6.7000,-5.7000,0.7000,-4.1000,5.4000,1.7000,-0.9609,1710439.67,4,5,6,-9.6609,0.5059,0.4.0-offseason,2026-05-18T15:20:36Z
DEN,2021,1,0.981132,24,28,-5.1000,0.0000,1.6000,5.3000,-1.7000,0.0000,-2.5326,2877511.96,0,3,20,-2.4326,-0.1216,0.4.0-offseason,2026-05-18T15:20:36Z
DET,2021,1,0.962264,28,23,8.1000,0.0000,2.3000,-4.2000,2.7000,0.7000,-0.1803,2734015.75,2,8,15,9.4197,-0.5608,0.4.0-offseason,2026-05-18T15:20:36Z
GB,2021,1,0.584906,15,16,11.4000,-1.9000,0.0000,-2.1000,-2.2000,-0.6000,-0.6924,1468331.73,0,5,9,3.9076,0.5059,0.4.0-offseason,2026-05-18T15:20:36Z
HOU,2021,1,1.603774,45,40,3.0000,-3.9000,-3.6000,3.3000,13.5000,-0.7000,3.2144,1678712.84,3,27,14,14.8144,-0.4980,0.4.0-offseason,2026-05-18T15:20:36Z
IND,2021,1,0.528302,17,11,10.5000,0.2000,3.9000,2.1000,-3.9000,0.7000,1.0274,3329534.12,1,7,9,14.5274,0.1294,0.4.0-offseason,2026-05-18T15:20:36Z
JAX,2021,1,0.962264,26,25,0.6000,0.0000,-3.6000,-1.0000,3.4000,-0.8000,1.2769,2846703.96,0,8,16,-0.1231,-0.6235,0.4.0-offseason,2026-05-18T15:20:36Z
KC,2021,1,0.622642,15,18,-0.4000,1.9000,-1.0000,1.0000,-5.9000,0.0000,-3.7444,2559600.13,1,8,6,-8.1444,0.5059,0.4.0-offseason,2026-05-18T15:20:36Z
LAC,2021,1,0.566038,14,16,0.9000,1.9000,0.0000,-3.2000,-2.2000,1.1000,-3.4449,2355357.14,0,5,9,-4.9449,0.1294,0.4.0-offseason,2026-05-18T15:20:36Z
LAR,2021,1,0.320755,5,12,-5.6000,-1.9000,-1.0000,0.0000,0.0000,0.2000,-3.6187,1642000.00,0,1,4,-11.9187,-1.0000,0.4.0-offseason,2026-05-18T15:20:36Z
LV,2021,1,0.962264,27,24,6.3000,1.9000,1.4000,-3.2000,2.2000,-0.3000,-2.1250,2068794.70,2,9,16,6.1750,0.2549,0.4.0-offseason,2026-05-18T15:20:36Z
MIA,2021,1,0.981132,30,22,0.3000,-2.2000,1.0000,3.1000,5.9000,0.0000,2.5664,2404467.90,4,10,16,10.6664,0.1294,0.4.0-offseason,2026-05-18T15:20:36Z
MIN,2021,1,0.735849,21,18,7.4000,-1.9000,1.3000,-3.1000,9.8000,0.6000,-0.8699,1623278.19,2,6,13,13.2301,0.0039,0.4.0-offseason,2026-05-18T15:20:36Z
NE,2021,1,1.000000,25,28,-9.6000,1.9000,-2.9000,2.1000,-2.7000,0.4000,-1.3649,4444307.40,5,14,6,-12.1649,0.2549,0.4.0-offseason,2026-05-18T15:20:36Z
NO,2021,1,0.867925,24,22,-8.1000,2.0000,-5.9000,-5.2000,9.1000,1.5000,4.6092,1571627.92,2,8,14,-1.9908,0.1294,0.4.0-offseason,2026-05-18T15:20:36Z
NYG,2021,1,0.830189,29,15,14.9000,0.0000,2.3000,5.2000,6.6000,0.0000,0.0190,2507416.59,4,11,14,29.0190,-0.4980,0.4.0-offseason,2026-05-18T15:20:36Z
NYJ,2021,1,1.132075,32,28,-6.7000,0.0000,5.2000,2.0000,-6.9000,0.7000,5.3650,2869550.03,2,15,15,-0.3350,-0.4980,0.4.0-offseason,2026-05-18T15:20:36Z
PHI,2021,1,0.867925,18,28,-5.9000,2.0000,-4.3000,-1.0000,-3.9000,-0.6000,-2.7834,1933453.11,2,7,9,-16.4834,0.1294,0.4.0-offseason,2026-05-18T15:20:36Z
PIT,2021,1,0.641509,18,16,7.5000,-0.3000,0.0000,-2.1000,-4.2000,0.1000,0.8491,1933615.11,2,10,6,1.8491,0.1922,0.4.0-offseason,2026-05-18T15:20:36Z
SEA,2021,1,0.698113,14,23,-6.7000,0.0000,-2.6000,-4.2000,-12.0000,0.0000,3.3121,2424715.36,4,4,6,-22.1879,-0.1216,0.4.0-offseason,2026-05-18T15:20:36Z
SF,2021,1,1.075472,26,31,-12.3000,1.9000,-1.9000,3.0000,-3.9000,0.0000,-3.0719,1627190.35,3,11,11,-16.2719,0.0039,0.4.0-offseason,2026-05-18T15:20:36Z
TB,2021,1,0.283019,8,7,2.3000,0.0000,0.0000,0.0000,2.2000,-0.4000,0.5032,899621.88,0,3,5,4.6032,0.6314,0.4.0-offseason,2026-05-18T15:20:36Z
TEN,2021,1,1.150943,38,23,4.9000,5.8000,2.3000,9.4000,4.7000,0.6000,-0.9687,2358922.66,4,16,18,26.7313,0.3804,0.4.0-offseason,2026-05-18T15:20:36Z
WAS,2021,1,0.754717,22,18,2.2000,1.9000,3.3000,-2.0000,2.2000,0.0000,2.4666,2939864.41,3,9,10,10.0666,-0.1216,0.4.0-offseason,2026-05-18T15:20:36Z
