team_id,nfl_season,nfl_week,roster_churn_rate,inbound_move_count,outbound_move_count,offense_skill_value_delta,offense_line_value_delta,defense_front_value_delta,defense_second_level_value_delta,defense_secondary_value_delta,special_teams_value_delta,other_value_delta,avg_contract_value_per_move,same_division_inbound_count,cross_division_inbound_count,cross_conference_inbound_count,position_value_delta,schedule_strength_index,feature_version,generated_at
ARI,2018,1,0.509434,11,16,-9.0000,0.0000,-2.0000,0.0000,1.0000,0.0000,-0.9817,4398130.91,0,6,4,-10.9817,-0.5733,0.4.0-offseason,2026-05-18T15:20:34Z
ATL,2018,1,0.358491,10,9,-6.0000,0.0000,-2.3000,2.0000,3.7000,0.0000,1.0349,1339693.50,1,6,2,-1.5651,-0.0044,0.4.0-offseason,2026-05-18T15:20:34Z
BAL,2018,1,0.641509,17,17,8.3000,-3.9000,-1.0000,-2.1000,0.0000,0.0000,0.4020,1307502.41,0,10,4,1.7020,0.2800,0.4.0-offseason,2026-05-18T15:20:34Z
BUF,2018,1,0.924528,26,23,8.1000,-0.1000,8.8000,1.0000,0.0000,0.6000,-5.2441,2154189.88,3,10,12,13.1559,-0.1467,0.4.0-offseason,2026-05-18T15:20:34Z
CAR,2018,1,0.528302,13,15,-6.7000,2.2000,1.0000,0.0000,1.0000,0.0000,-3.4507,2681762.69,1,7,4,-5.9507,-0.0044,0.4.0-offseason,2026-05-18T15:20:34Z
CHI,2018,1,0.547170,15,14,5.8000,0.0000,-2.6000,1.0000,0.0000,0.0000,-0.3442,4661561.67,0,7,5,3.8558,0.5644,0.4.0-offseason,2026-05-18T15:20:34Z
CIN,2018,1,0.377358,8,12,-5.1000,-1.9000,-0.3000,-2.1000,-3.7000,0.0000,2.5099,3132644.88,0,6,2,-10.5901,-0.2889,0.4.0-offseason,2026-05-18T15:20:34Z
CLE,2018,1,0.981132,28,24,-0.9000,4.4000,0.6000,4.2000,2.7000,0.0000,1.7454,2850731.21,2,13,13,12.7454,0.0667,0.4.0-offseason,2026-05-18T15:20:34Z
DAL,2018,1,0.396226,11,10,3.4000,-2.0000,-1.6000,-1.0000,-5.4000,-0.7000,4.9351,2816408.09,0,1,5,-2.3649,0.4222,0.4.0-offseason,2026-05-18T15:20:34Z
DEN,2018,1,0.622642,16,17,-12.2000,-2.2000,1.6000,1.1000,5.4000,-0.6000,3.6173,1962828.88,0,3,10,-3.2827,-0.2889,0.4.0-offseason,2026-05-18T15:20:34Z
DET,2018,1,0.735849,21,18,2.2000,-4.2000,2.6000,4.1000,1.7000,0.0000,-0.4500,1842583.76,1,12,8,5.9500,-0.1467,0.4.0-offseason,2026-05-18T15:20:34Z
GB,2018,1,0.698113,20,17,-6.3000,-0.2000,1.3000,3.1000,5.4000,0.0000,1.1900,1835506.30,0,13,7,4.4900,-0.0756,0.4.0-offseason,2026-05-18T15:20:34Z
HOU,2018,1,0.358491,11,8,6.5000,-0.2000,0.0000,0.0000,4.4000,0.0000,-0.3383,4705454.55,2,6,3,10.3617,0.5644,0.4.0-offseason,2026-05-18T15:20:34Z
IND,2018,1,0.660377,22,13,4.7000,2.0000,-2.6000,-3.2000,1.0000,0.0000,4.6925,1728588.73,0,13,7,6.5925,0.2800,0.4.0-offseason,2026-05-18T15:20:34Z
JAX,2018,1,0.358491,12,7,-4.9000,0.0000,2.3000,0.0000,1.0000,0.0000,4.2648,3589513.83,1,2,7,2.6648,-0.2889,0.4.0-offseason,2026-05-18T15:20:34Z
KC,2018,1,0.698113,19,18,-2.6000,0.0000,1.0000,2.1000,-1.7000,0.0000,-1.1222,2287777.05,0,9,8,-2.3222,0.4222,0.4.0-offseason,2026-05-18T15:20:34Z
LAC,2018,1,0.264151,5,9,0.2000,1.9000,-2.3000,-3.0000,1.7000,1.3000,-3.3996,2897333.40,1,1,3,-3.5996,0.4222,0.4.0-offseason,2026-05-18T15:20:34Z
LAR,2018,1,0.188679,3,7,-2.5000,0.0000,1.3000,-1.0000,-5.4000,0.0000,-0.2084,5180000.00,0,0,3,-7.8084,-1.0000,0.4.0-offseason,2026-05-18T15:20:34Z
