team_id,nfl_season,nfl_week,roster_churn_rate,inbound_move_count,outbound_move_count,offense_skill_value_delta,offense_line_value_delta,defense_front_value_delta,defense_second_level_value_delta,defense_secondary_value_delta,special_teams_value_delta,other_value_delta,avg_contract_value_per_move,same_division_inbound_count,cross_division_inbound_count,cross_conference_inbound_count,position_value_delta,schedule_strength_index,feature_version,generated_at
ARI,2026,1,0.490566,15,11,2.7000,2.2000,0.0000,-2.1000,-2.7000,0.4000,3.0000,3584666.67,1,9,5,3.5000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
ATL,2026,1,0.698113,19,18,-1.2000,2.0000,0.0000,2.1000,0.5000,-0.0000,0.0000,2331710.53,0,6,13,3.4000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
BAL,2026,1,0.396226,8,13,-2.9000,1.9000,1.0000,-2.1000,-2.2000,-0.6000,-1.0000,7073750.00,2,3,3,-5.9000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
BUF,2026,1,0.301887,11,5,4.3000,3.8000,0.0000,0.0000,2.2000,0.0000,1.0000,2906136.36,2,3,6,11.3000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
CAR,2026,1,0.339623,11,7,12.3000,2.3000,-1.0000,0.0000,-2.2000,0.0000,1.0000,5788863.64,2,5,4,12.4000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
CHI,2026,1,0.452830,9,15,-3.4000,0.0000,1.0000,2.1000,-6.6000,-0.4000,-2.0000,3204814.78,1,3,5,-9.3000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
CIN,2026,1,0.301887,6,10,-1.8000,0.0000,1.0000,0.0000,-2.7000,0.0000,-3.0000,8339027.83,1,2,3,-6.5000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
CLE,2026,1,0.301887,9,7,1.9000,1.9000,0.0000,0.0000,2.2000,0.0000,-1.0000,4891111.11,1,4,4,5.0000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
DAL,2026,1,0.358491,12,7,2.5000,0.0000,2.0000,0.0000,7.6000,0.0000,-1.0000,2844166.67,1,7,4,11.1000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
DEN,2026,1,0.113208,1,5,-3.5000,0.0000,-1.0000,-2.1000,0.0000,0.0000,0.0000,1500000.00,0,1,0,-6.6000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
DET,2026,1,0.452830,12,12,-2.4000,3.9000,-1.0000,0.0000,0.0000,0.0000,-1.0000,2441319.42,0,6,6,-0.5000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
GB,2026,1,0.226415,3,9,-4.1000,-4.1000,1.0000,-2.1000,-2.2000,0.0000,-1.0000,6300000.00,1,0,2,-12.5000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
HOU,2026,1,0.283019,8,7,-2.5000,0.0000,0.0000,-2.1000,-0.5000,-0.6000,4.0000,5500000.00,1,2,5,-1.7000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
IND,2026,1,0.377358,9,11,-0.7000,-1.9000,0.0000,0.0000,2.7000,0.0000,-1.0000,2767407.44,1,5,3,-0.9000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
JAX,2026,1,0.169811,2,7,-5.2000,0.0000,0.0000,-2.1000,-4.9000,0.0000,0.0000,2500000.00,1,0,1,-12.2000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
KC,2026,1,0.377358,6,14,-6.5000,-2.0000,-1.0000,-2.1000,0.0000,0.0000,-3.0000,5703333.33,0,4,2,-14.6000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
LAC,2026,1,0.320755,8,9,4.4000,-2.5000,-1.0000,0.0000,-2.7000,0.0000,-1.0000,5146875.00,0,5,3,-2.8000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
LAR,2026,1,0.169811,3,6,-2.5000,0.0000,0.0000,2.1000,-8.1000,0.4000,-1.0000,6983333.33,0,1,2,-9.1000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
LV,2026,1,0.301887,11,5,6.8000,2.1000,1.0000,4.2000,-4.9000,0.0000,1.0000,8632833.36,0,5,6,10.2000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
MIA,2026,1,0.641509,18,16,-2.5000,0.0000,-1.0000,-2.1000,7.1000,0.0000,2.0000,2552500.00,1,5,12,3.5000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
MIN,2026,1,0.226415,5,7,0.6000,-2.2000,-1.0000,0.0000,2.7000,0.0000,0.0000,1688000.00,0,2,3,0.1000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
NE,2026,1,0.358491,10,9,1.0000,0.0000,-1.0000,0.0000,2.2000,0.0000,0.0000,6428916.70,4,2,4,2.2000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
NO,2026,1,0.320755,9,8,5.4000,-4.1000,-1.0000,0.0000,0.0000,0.6000,1.0000,5740000.00,1,2,6,1.9000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
NYG,2026,1,0.509434,18,9,7.5000,-4.1000,1.0000,2.1000,4.9000,0.9000,3.0000,3765740.72,0,6,12,15.3000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
NYJ,2026,1,0.377358,7,13,-12.3000,2.2000,-1.0000,0.0000,1.2000,-0.7000,-1.0000,5571428.57,0,2,5,-11.6000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
PHI,2026,1,0.396226,10,11,1.8000,0.0000,0.0000,-2.1000,5.4000,0.0000,-3.0000,3158500.00,1,4,5,2.1000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
PIT,2026,1,0.339623,7,11,-11.7000,1.9000,1.0000,0.0000,0.0000,-0.6000,-1.0000,4951785.71,0,2,5,-10.4000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
SEA,2026,1,0.207547,6,5,-0.7000,0.0000,0.0000,0.0000,2.2000,0.0000,0.0000,1259583.33,0,4,2,1.5000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
SF,2026,1,0.433962,10,13,-1.6000,-1.9000,-2.0000,0.0000,0.0000,0.2000,1.0000,3940683.30,0,4,6,-4.3000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
TB,2026,1,0.396226,13,8,4.0000,0.2000,1.0000,4.2000,-2.2000,0.4000,1.0000,3111538.46,3,6,4,8.6000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
TEN,2026,1,0.660377,19,16,5.9000,-1.9000,0.0000,2.1000,-1.2000,0.0000,0.0000,6080859.63,1,8,10,4.9000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
WAS,2026,1,0.396226,15,6,4.4000,0.3000,2.0000,0.0000,2.2000,0.0000,3.0000,5906500.00,1,3,11,11.9000,0.0000,0.4.0-offseason,2026-05-18T15:20:39Z
