"team_id","nfl_season","nfl_week","games_played","wins","losses","ties","win_pct","point_diff_per_game","offensive_epa_per_play","aggregated_at"
"ARI","2020","1","14","8","6","0","0.5714","4.5714","0.0050","2026-05-08T13:35:04Z"
"ATL","2020","1","16","4","12","0","0.2500","-1.1250","-0.0350","2026-05-08T13:35:04Z"
"BAL","2020","1","16","11","5","0","0.6875","10.3125","0.0350","2026-05-08T13:35:04Z"
"BUF","2020","1","15","12","3","0","0.8000","8.2000","0.0450","2026-05-08T13:35:04Z"
"CAR","2020","1","16","5","11","0","0.3125","-3.2500","-0.0250","2026-05-08T13:35:04Z"
"CHI","2020","1","15","8","7","0","0.5333","1.0667","0.0050","2026-05-08T13:35:04Z"
"CIN","2020","1","16","4","11","1","0.2812","-7.0625","-0.0300","2026-05-08T13:35:04Z"
"CLE","2020","1","16","11","5","0","0.6875","-0.6875","0.0350","2026-05-08T13:35:04Z"
"DAL","2020","1","15","6","9","0","0.4000","-5.0000","-0.0150","2026-05-08T13:35:04Z"
"DEN","2020","1","16","5","11","0","0.3125","-7.6875","-0.0250","2026-05-08T13:35:04Z"
"DET","2020","1","16","5","11","0","0.3125","-8.8750","-0.0250","2026-05-08T13:35:04Z"
"GB","2020","1","16","13","3","0","0.8125","8.7500","0.0550","2026-05-08T13:35:04Z"
"HOU","2020","1","16","4","12","0","0.2500","-5.0000","-0.0350","2026-05-08T13:35:04Z"
"IND","2020","1","16","11","5","0","0.6875","5.5625","0.0350","2026-05-08T13:35:04Z"
"JAX","2020","1","16","1","15","0","0.0625","-11.6250","-0.0650","2026-05-08T13:35:04Z"
"KC","2020","1","16","14","2","0","0.8750","6.9375","0.0650","2026-05-08T13:35:04Z"
"LAC","2020","1","16","7","9","0","0.4375","-2.6250","-0.0050","2026-05-08T13:35:04Z"
"LAR","2020","1","0","0","0","0","0.0000","0.0000","-0.0750","2026-05-08T13:35:04Z"
"LV","2020","1","16","8","8","0","0.5000","-2.7500","0.0050","2026-05-08T13:35:04Z"
"MIA","2020","1","15","9","6","0","0.6000","3.6667","0.0150","2026-05-08T13:35:04Z"
"MIN","2020","1","16","7","9","0","0.4375","-2.8125","-0.0050","2026-05-08T13:35:04Z"
"NE","2020","1","15","7","8","0","0.4667","-0.4000","-0.0050","2026-05-08T13:35:04Z"
"NO","2020","1","16","12","4","0","0.7500","9.0625","0.0450","2026-05-08T13:35:04Z"
"NYG","2020","1","15","6","9","0","0.4000","-4.6000","-0.0150","2026-05-08T13:35:04Z"
"NYJ","2020","1","15","1","14","0","0.0667","-14.4667","-0.0650","2026-05-08T13:35:04Z"
"PHI","2020","1","15","4","10","1","0.3000","-4.4000","-0.0300","2026-05-08T13:35:04Z"
"PIT","2020","1","16","12","4","0","0.7500","6.5000","0.0450","2026-05-08T13:35:04Z"
"SEA","2020","1","14","11","3","0","0.7857","6.0000","0.0350","2026-05-08T13:35:04Z"
"SF","2020","1","14","4","10","0","0.2857","-1.7857","-0.0350","2026-05-08T13:35:04Z"
"TB","2020","1","15","11","4","0","0.7333","9.3333","0.0350","2026-05-08T13:35:04Z"
"TEN","2020","1","16","11","5","0","0.6875","3.2500","0.0350","2026-05-08T13:35:04Z"
"WAS","2020","1","15","7","8","0","0.4667","1.7333","-0.0050","2026-05-08T13:35:04Z"
