team_id,nfl_season,nfl_week,roster_churn_rate,inbound_move_count,outbound_move_count,offense_skill_value_delta,offense_line_value_delta,defense_front_value_delta,defense_second_level_value_delta,defense_secondary_value_delta,special_teams_value_delta,other_value_delta,avg_contract_value_per_move,same_division_inbound_count,cross_division_inbound_count,cross_conference_inbound_count,position_value_delta,schedule_strength_index,feature_version,generated_at
ARI,2020,1,0.584906,17,14,0.9000,-1.9000,-5.8000,4.2000,9.3000,0.0000,0.1884,3455672.82,0,4,13,6.8884,0.0667,0.4.0-offseason,2026-05-18T15:20:35Z
ATL,2020,1,0.490566,12,14,3.3000,0.0000,-3.9000,-0.1000,2.7000,-0.6000,-2.6862,2656029.33,0,5,7,-1.2862,-0.4667,0.4.0-offseason,2026-05-18T15:20:35Z
BAL,2020,1,0.566038,14,16,1.4000,-3.9000,2.6000,-2.1000,2.7000,0.0000,-1.5903,3221947.50,1,5,8,-0.8903,0.4667,0.4.0-offseason,2026-05-18T15:20:35Z
BUF,2020,1,0.584906,18,13,-6.6000,2.0000,8.9000,3.2000,5.4000,-0.1000,-1.7358,3493004.22,2,4,12,11.0642,0.6000,0.4.0-offseason,2026-05-18T15:20:35Z
CAR,2020,1,0.754717,19,21,5.7000,-3.9000,-11.5000,3.0000,0.0000,-0.7000,2.1178,4049445.00,3,5,11,-5.2822,-0.3333,0.4.0-offseason,2026-05-18T15:20:35Z
CHI,2020,1,0.679245,18,18,0.7000,2.0000,-0.7000,-4.2000,1.2000,0.0000,2.9355,3117525.22,3,7,8,1.9355,0.0667,0.4.0-offseason,2026-05-18T15:20:35Z
CIN,2020,1,0.584906,16,15,0.7000,1.9000,4.9000,-3.1000,-3.9000,0.0000,1.0325,3359062.50,1,5,10,1.5325,-0.4000,0.4.0-offseason,2026-05-18T15:20:35Z
CLE,2020,1,0.716981,21,17,0.7000,3.9000,1.0000,-2.1000,3.7000,0.0000,0.2491,2741624.95,1,9,11,7.4491,0.4667,0.4.0-offseason,2026-05-18T15:20:35Z
DAL,2020,1,0.566038,12,18,-1.0000,0.0000,-1.7000,-1.0000,-4.9000,0.7000,-0.3278,2369779.17,1,6,5,-8.2278,-0.2000,0.4.0-offseason,2026-05-18T15:20:35Z
DEN,2020,1,0.603774,15,17,-1.4000,2.0000,-0.3000,0.0000,-4.9000,0.2000,0.0726,4164000.00,1,7,7,-4.3274,-0.3333,0.4.0-offseason,2026-05-18T15:20:35Z
DET,2020,1,0.886792,23,24,7.3000,-2.0000,-1.9000,4.2000,3.9000,-0.6000,-7.0230,2991365.26,4,6,13,3.8770,-0.3333,0.4.0-offseason,2026-05-18T15:20:35Z
GB,2020,1,0.320755,6,11,5.4000,0.0000,0.0000,-4.1000,-1.0000,0.0000,-2.0574,1974311.33,1,2,3,-1.7574,0.7333,0.4.0-offseason,2026-05-18T15:20:35Z
